time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-01-03T22:02:33.970Z,43.1443,25.812,20.36,4.2,mb,,52,1.965,0.91,us,us10007pj8,2017-01-04T00:11:54.642Z,"7km ENE of Lyaskovets, Bulgaria",earthquake,2.7,7.8,0.526,1,reviewed,us,us
2016-05-22T08:58:32.180Z,41.6575,23.2547,10,4.3,mwr,,35,0.959,0.96,us,us10005j7f,2016-08-03T22:33:41.040Z,"5km ENE of Strumyani, Bulgaria",earthquake,3.6,1.9,0.056,31,reviewed,us,us
2016-04-18T06:46:14.040Z,42.3999,25.9692,5,4.3,mb,,93,1.33,0.92,us,us20005je7,2016-06-27T23:02:05.040Z,"10km SSW of Nova Zagora, Bulgaria",earthquake,3.4,5.2,0.129,17,reviewed,buc,us
2016-02-28T11:17:19.480Z,41.4946,22.9195,10,4.4,mb,,26,1.146,0.9,us,us10004tce,2016-05-06T23:34:17.040Z,"9km NNE of Novo Selo, Macedonia",earthquake,1.8,1.9,0.123,19,reviewed,us,us
2015-07-15T08:30:38.090Z,43.3661,28.5652,20.4,3.8,mb,,153,0.12,0.85,us,us20002xkv,2015-10-09T20:19:18.040Z,"18km S of Shabla, Bulgaria",earthquake,3.1,2.6,0.294,3,reviewed,buc,us
2015-04-29T04:40:53.510Z,42.0393,29.3078,14.1,3.5,mb,,,,1.1,us,us20002a1u,2015-07-03T00:23:46.040Z,"93km NNE of Arikoey, Turkey",earthquake,2.5,5.6,0.222,5,reviewed,isk,us
2015-04-02T02:27:07.100Z,42.19,26.32,5,4,mb,,,,2.01,us,us10001t4w,2015-06-16T01:00:23.040Z,"11km N of Topolovgrad, Bulgaria",earthquake,3.3,5.2,0.298,3,reviewed,sof,us
2015-02-05T06:16:46.720Z,42.7257,26.0496,10,4.2,mb,,35,0.904,1,us,usc000tlv3,2015-05-04T22:47:40.040Z,"12km ENE of Tvurditsa, Bulgaria",earthquake,2.5,1.9,0.186,14,reviewed,us,us
2014-06-24T19:39:53.090Z,43.8088,24.4734,17.9,4.1,mwr,,67,0.2,1.17,us,usc000rlct,2014-09-19T17:23:39.000Z,"3km NW of Corabia, Romania",earthquake,,5.7,0.098,10,reviewed,buc,us
2014-02-05T01:56:44.100Z,41.3725,28.6327,12,3.8,ml,,,,0.77,us,usc000mj1p,2014-04-22T18:30:05.000Z,"8km NNW of Durusu, Turkey",earthquake,,5.4,,,reviewed,isk,isk
2013-08-13T06:14:36.050Z,43.1218,27.4906,2,3.9,ml,,,,0.68,us,usb000j1yc,2013-10-19T02:41:41.000Z,"8km SE of Provadiya, Bulgaria",earthquake,,6.6,,,reviewed,us_buc,us_buc
2013-07-27T03:21:54.900Z,41.91,23.2,2,4.1,mb,31,100,,,us,usc000iqeu,2015-01-30T23:54:59.255Z,"7km ENE of Simitli, Bulgaria",earthquake,,,,7,reviewed,sof,us
2013-07-27T01:24:24.690Z,41.94,23.2,2,4,mb,19,100,,,us,usc000iqd2,2014-11-07T01:51:20.551Z,"9km NE of Simitli, Bulgaria",earthquake,,,,4,reviewed,sof,us
2013-07-09T17:12:01.940Z,42.212,26.305,16.2,4.1,mwr,20,66,,0.66,us,usb000ia7l,2014-11-07T01:51:14.694Z,"15km N of Topolovgrad, Bulgaria",earthquake,,11.7,,,reviewed,us,us
2012-12-03T18:58:39.340Z,43.446,28.653,10,4.5,mb,52,43.2,,0.95,us,usp000jwdf,2014-11-07T01:49:31.980Z,Black Sea,earthquake,,,,5,reviewed,us,us
2012-07-14T12:52:07.730Z,42.67,23.067,10.2,4.6,mb,75,27.2,,1.06,us,usp000jp0d,2015-03-24T01:54:52.507Z,Bulgaria,earthquake,,6.3,,10,reviewed,us,us
